,elbo
350,-862288576.0
351,-866638784.0
352,-873515840.0
353,-875811264.0
354,-870539456.0
355,-860816384.0
356,-900041216.0
357,-898518592.0
358,-888088128.0
359,-878532864.0
360,-873127872.0
361,-863275712.0
362,-850364288.0
363,-849193024.0
364,-840262976.0
365,-839232256.0
366,-852245376.0
367,-854661504.0
368,-842746880.0
369,-858208320.0
370,-865759232.0
371,-878005312.0
372,-876999104.0
373,-856081472.0
374,-857530240.0
375,-857817792.0
376,-840619264.0
377,-858417024.0
378,-886876800.0
379,-916451264.0
380,-898593472.0
381,-877573184.0
382,-913095808.0
383,-956648128.0
384,-996260288.0
385,-1037086208.0
386,-948127552.0
387,-963142592.0
388,-893304960.0
389,-879265728.0
390,-856483072.0
391,-862417920.0
392,-861546304.0
393,-843916608.0
394,-844980544.0
395,-846899008.0
396,-842354560.0
397,-833743296.0
398,-848749568.0
399,-831788992.0
400,-839260480.0
401,-849888704.0
402,-853742144.0
403,-842221760.0
404,-836804416.0
405,-839699200.0
406,-870513280.0
407,-882830848.0
408,-869470272.0
409,-843710208.0
410,-834404288.0
411,-836786880.0
412,-832565440.0
413,-822578048.0
414,-823770880.0
415,-824878080.0
416,-827120896.0
417,-832068864.0
418,-820295168.0
419,-835788672.0
420,-831371008.0
421,-836503488.0
422,-833470592.0
423,-841284800.0
424,-832381632.0
425,-856006208.0
426,-900046656.0
427,-893000768.0
428,-849604992.0
429,-845909440.0
430,-842276096.0
431,-831586560.0
432,-843719104.0
433,-831513088.0
434,-817674304.0
435,-827599744.0
436,-829675840.0
437,-826773312.0
438,-824381120.0
439,-823433280.0
440,-818348672.0
441,-819492928.0
442,-828532160.0
443,-828183296.0
444,-823121472.0
445,-822183360.0
446,-815833792.0
447,-819116928.0
448,-826696640.0
449,-817162880.0
450,-820198720.0
451,-820467456.0
452,-811057408.0
453,-832135360.0
454,-822376512.0
455,-821680512.0
456,-827137984.0
457,-834551808.0
458,-831220544.0
459,-821317504.0
460,-816029888.0
461,-819172544.0
462,-825456000.0
463,-842311744.0
464,-845479296.0
465,-846120192.0
466,-841939520.0
467,-835047616.0
468,-865889664.0
469,-860622272.0
470,-865799552.0
471,-883833792.0
472,-925618048.0
473,-865256192.0
474,-910424512.0
475,-890482048.0
476,-884798272.0
477,-879878464.0
478,-859905088.0
479,-839530048.0
480,-862603904.0
481,-837693440.0
482,-817303296.0
483,-814843008.0
484,-839677056.0
485,-824015104.0
486,-819143872.0
487,-827229312.0
488,-848591424.0
489,-856422336.0
490,-880356416.0
491,-892454144.0
492,-829443776.0
493,-915234880.0
494,-865700160.0
495,-849540160.0
496,-835433600.0
497,-825945856.0
498,-819280320.0
499,-828415680.0
500,-820654912.0
501,-831697600.0
502,-835522240.0
503,-837390528.0
504,-819892416.0
505,-819540096.0
506,-818933056.0
507,-822108544.0
508,-810814080.0
509,-794437440.0
510,-801922112.0
511,-822808384.0
512,-829563968.0
513,-810245760.0
514,-824686464.0
515,-809619328.0
516,-807288640.0
517,-814647872.0
518,-820238592.0
519,-815452544.0
520,-804985344.0
521,-803694912.0
522,-827696768.0
523,-819595456.0
524,-808503680.0
525,-827205952.0
526,-855263680.0
527,-866794432.0
528,-866954176.0
529,-836119808.0
530,-836672512.0
531,-880021120.0
532,-885458048.0
533,-857627712.0
534,-835683648.0
535,-842354240.0
536,-817220160.0
537,-813322112.0
538,-845872000.0
539,-816920704.0
540,-793823232.0
541,-819975872.0
542,-801335168.0
543,-805719552.0
544,-818397824.0
545,-823794816.0
546,-795234880.0
547,-807658816.0
548,-803495744.0
549,-791032960.0
550,-798129600.0
551,-818713664.0
552,-812473920.0
553,-818427648.0
554,-839110720.0
555,-846982272.0
556,-862831040.0
557,-875745792.0
558,-851897984.0
559,-825563392.0
560,-859884224.0
561,-904061888.0
562,-873953472.0
563,-846043328.0
564,-849618496.0
565,-839950208.0
566,-847044224.0
567,-835448704.0
568,-817887232.0
569,-843140160.0
570,-835038080.0
571,-848350336.0
572,-868826176.0
573,-970546880.0
574,-863798912.0
575,-899826496.0
576,-930738816.0
577,-828679296.0
578,-816323200.0
579,-818175744.0
580,-835811328.0
581,-879250944.0
582,-826592256.0
583,-798968704.0
584,-825387136.0
585,-848188736.0
586,-821013504.0
587,-805839872.0
588,-800924224.0
589,-811945984.0
590,-824228928.0
591,-844074496.0
592,-842808832.0
593,-817217408.0
594,-821267264.0
595,-836395200.0
596,-837453632.0
597,-814759488.0
598,-807065920.0
599,-823450048.0
600,-795886976.0
601,-797126400.0
602,-821103232.0
603,-800239296.0
604,-789257088.0
605,-798654208.0
606,-798547904.0
607,-797274752.0
608,-824217728.0
609,-880948608.0
610,-821498624.0
611,-807404096.0
612,-807884160.0
613,-821961728.0
614,-810356160.0
615,-790505344.0
616,-791324032.0
617,-796258944.0
618,-785970240.0
619,-792761664.0
620,-786332800.0
621,-789341312.0
622,-795959104.0
623,-798486016.0
624,-806153856.0
625,-817485760.0
626,-812699072.0
627,-805865600.0
628,-809797696.0
629,-810337216.0
630,-818573184.0
631,-871209472.0
632,-826257856.0
633,-803625792.0
634,-830394432.0
635,-879841664.0
636,-863085632.0
637,-811719104.0
638,-809834048.0
639,-813109056.0
640,-822781120.0
641,-805227648.0
642,-861735808.0
643,-871469696.0
644,-826748736.0
645,-827372928.0
646,-805889152.0
647,-827730688.0
648,-817057728.0
649,-808585024.0
650,-820947520.0
651,-832310080.0
652,-848826304.0
653,-860540416.0
654,-884203200.0
655,-872161536.0
656,-893403136.0
657,-997792384.0
658,-882097536.0
659,-868866304.0
660,-842279616.0
661,-818542784.0
662,-818481984.0
663,-804176832.0
664,-799621632.0
665,-811555392.0
666,-796803584.0
667,-794218048.0
668,-798713664.0
669,-837699776.0
670,-869225984.0
671,-869275840.0
672,-833077120.0
673,-831454720.0
674,-792541888.0
675,-805567296.0
676,-807343808.0
677,-831977216.0
678,-811862912.0
679,-796913088.0
680,-790364800.0
681,-781315008.0
682,-797610048.0
683,-799646912.0
684,-804345600.0
685,-823983744.0
686,-833544832.0
687,-825843776.0
688,-822864192.0
689,-801278144.0
690,-803157056.0
691,-801471168.0
692,-783884736.0
693,-817049024.0
694,-871795392.0
695,-828069376.0
696,-804245248.0
697,-805918144.0
698,-784657216.0
699,-782020928.0
700,-819743424.0
701,-794417344.0
702,-784351616.0
703,-782521856.0
704,-784510016.0
705,-789692160.0
706,-783585856.0
