,elbo
319,-2119299072.0
320,-2132861952.0
321,-2125534080.0
322,-2115464064.0
323,-2110192256.0
324,-2111079168.0
325,-2108756096.0
326,-2108926720.0
327,-2111494784.0
328,-2105124352.0
329,-2091738624.0
330,-2090937344.0
331,-2097162624.0
332,-2092045056.0
333,-2099434112.0
334,-2075436288.0
335,-2085625728.0
336,-2080145920.0
337,-2088066688.0
338,-2069808000.0
339,-2070111360.0
340,-2069937408.0
341,-2049188352.0
342,-2063674752.0
343,-2054804992.0
344,-2061511424.0
345,-2053188736.0
346,-2043114624.0
347,-2046304768.0
348,-2030672768.0
349,-2033531648.0
350,-2036814208.0
351,-2026052224.0
352,-2040031360.0
353,-2038696960.0
354,-2023923840.0
355,-2017656704.0
356,-2017805056.0
357,-2014696320.0
358,-2005308928.0
359,-2017298304.0
360,-2003249536.0
361,-2009545984.0
362,-2003652224.0
363,-1999878528.0
364,-1994343552.0
365,-2008595328.0
366,-1990324480.0
367,-1988009216.0
368,-1993581056.0
369,-1993279872.0
370,-1975858304.0
371,-1985750656.0
372,-1986445056.0
373,-1975361792.0
374,-1971147520.0
375,-1965540480.0
376,-1978388224.0
377,-1972872832.0
378,-1958227072.0
379,-1953553536.0
380,-1962708608.0
381,-1961096576.0
382,-1958644992.0
383,-1955706880.0
384,-1948785024.0
385,-1939716736.0
386,-1943055744.0
387,-1945189504.0
388,-1931423488.0
389,-1938145280.0
390,-1935843968.0
391,-1945709440.0
392,-1938812800.0
393,-1923962240.0
394,-1935979136.0
395,-1928611456.0
396,-1922472064.0
397,-1914605056.0
398,-1935981056.0
399,-1909623936.0
400,-1916633472.0
401,-1909933568.0
402,-1901473024.0
403,-1904297088.0
404,-1897036160.0
405,-1900840832.0
406,-1903408768.0
407,-1887990144.0
408,-1892236160.0
409,-1899822720.0
410,-1888651648.0
411,-1900894080.0
412,-1888394368.0
413,-1877118208.0
414,-1890940544.0
415,-1882563968.0
416,-1876344320.0
417,-1880323456.0
418,-1873166336.0
419,-1868882048.0
420,-1876625024.0
421,-1871416192.0
422,-1872801536.0
423,-1860370688.0
424,-1870138624.0
425,-1873271680.0
426,-1852182528.0
427,-1863301120.0
428,-1865015808.0
429,-1855356416.0
430,-1855236224.0
431,-1854888704.0
432,-1845703040.0
433,-1848633600.0
434,-1855392384.0
435,-1838757120.0
436,-1844926592.0
437,-1835835648.0
438,-1838723712.0
439,-1843566336.0
440,-1838124416.0
441,-1832643968.0
442,-1839537024.0
443,-1829044096.0
444,-1842247808.0
445,-1819347968.0
446,-1826869504.0
447,-1822055552.0
448,-1820598784.0
449,-1817727232.0
450,-1821445248.0
451,-1810322304.0
452,-1817831552.0
453,-1811279104.0
454,-1805233152.0
455,-1804078720.0
456,-1812218880.0
457,-1795144192.0
458,-1807438464.0
459,-1804714752.0
460,-1792286208.0
461,-1804635904.0
462,-1811033088.0
463,-1811004672.0
464,-1796949248.0
465,-1806936064.0
466,-1798131584.0
467,-1784845312.0
468,-1804028544.0
469,-1786887808.0
470,-1788711552.0
471,-1795924352.0
472,-1791255936.0
473,-1786402048.0
474,-1790223744.0
475,-1784607616.0
476,-1783391232.0
477,-1779735424.0
478,-1773921920.0
479,-1777131008.0
480,-1778915712.0
481,-1776156288.0
482,-1768983296.0
483,-1766232320.0
484,-1767712512.0
485,-1766068736.0
486,-1763730560.0
487,-1765085440.0
488,-1766108800.0
489,-1764100352.0
490,-1759926528.0
491,-1758973696.0
492,-1753218432.0
493,-1763634560.0
494,-1748791808.0
495,-1754886528.0
496,-1758722048.0
497,-1762701568.0
498,-1753793664.0
499,-1748109568.0
500,-1749117440.0
501,-1741310848.0
502,-1744320768.0
503,-1755176320.0
504,-1749456000.0
505,-1745541888.0
506,-1742816640.0
507,-1744002560.0
508,-1741394944.0
509,-1745254528.0
510,-1736428032.0
511,-1734057088.0
512,-1736568704.0
513,-1740850688.0
514,-1733583104.0
515,-1724726912.0
516,-1734320256.0
517,-1735804288.0
518,-1735529216.0
519,-1730154240.0
520,-1722870272.0
521,-1732778880.0
522,-1732306432.0
523,-1720888832.0
524,-1725294976.0
525,-1733322240.0
526,-1719462272.0
527,-1720088448.0
528,-1726898432.0
529,-1719193728.0
530,-1716909952.0
531,-1722992000.0
532,-1719453312.0
533,-1712271104.0
534,-1714418304.0
535,-1714734592.0
536,-1717352960.0
537,-1717611008.0
538,-1712285568.0
539,-1712838912.0
540,-1715751424.0
541,-1712372608.0
542,-1703258112.0
543,-1710185728.0
544,-1707188992.0
545,-1710620928.0
546,-1706675328.0
547,-1705785600.0
548,-1705372928.0
549,-1702055168.0
550,-1696856704.0
551,-1705226112.0
552,-1707163776.0
553,-1702892544.0
554,-1709315328.0
555,-1704301824.0
556,-1703365376.0
557,-1692869888.0
558,-1695528192.0
559,-1698970624.0
560,-1695335168.0
561,-1693115136.0
562,-1689825536.0
563,-1684047616.0
564,-1695535488.0
565,-1692383744.0
566,-1689790720.0
567,-1681891072.0
568,-1685289472.0
569,-1686343168.0
570,-1685054464.0
571,-1686146432.0
572,-1689895936.0
573,-1683714688.0
574,-1680091904.0
575,-1686353792.0
576,-1682746880.0
577,-1686538752.0
578,-1685227648.0
579,-1680130304.0
580,-1679522176.0
581,-1681257472.0
582,-1674844416.0
583,-1679296896.0
584,-1676612480.0
585,-1672913664.0
586,-1675747584.0
587,-1666740864.0
588,-1678338944.0
589,-1673328768.0
590,-1675478528.0
591,-1674065024.0
592,-1670716928.0
593,-1668952832.0
594,-1673300480.0
595,-1671076864.0
596,-1667826432.0
597,-1668938880.0
598,-1668103040.0
599,-1663494912.0
600,-1668244352.0
601,-1666819200.0
602,-1669161856.0
603,-1670370944.0
604,-1667172736.0
605,-1658968832.0
606,-1667070848.0
607,-1667185792.0
608,-1664830080.0
609,-1664772992.0
610,-1659022208.0
611,-1659269120.0
612,-1663148160.0
613,-1664733184.0
614,-1665622016.0
615,-1666331136.0
616,-1660445056.0
617,-1658007040.0
618,-1664018560.0
619,-1655080960.0
620,-1656673408.0
621,-1658652544.0
622,-1656193408.0
623,-1656046464.0
624,-1662292352.0
625,-1653462016.0
626,-1652533120.0
627,-1650661760.0
628,-1653387776.0
629,-1654916736.0
630,-1653931904.0
631,-1651399168.0
632,-1651512448.0
633,-1649193344.0
634,-1644786304.0
635,-1651217408.0
636,-1655432064.0
637,-1647313664.0
638,-1647843200.0
639,-1648649984.0
640,-1647229184.0
641,-1646234496.0
642,-1645393408.0
643,-1650599040.0
644,-1645304448.0
645,-1644802432.0
646,-1644887168.0
647,-1644256384.0
648,-1644282240.0
649,-1644552064.0
650,-1639142400.0
651,-1641063296.0
652,-1638884352.0
653,-1639558912.0
654,-1644822912.0
655,-1642819456.0
656,-1639848576.0
657,-1642412544.0
658,-1638334848.0
659,-1642702464.0
660,-1640652160.0
661,-1636108160.0
662,-1640001024.0
663,-1638340352.0
664,-1634466304.0
665,-1636821888.0
666,-1637310720.0
667,-1636609152.0
668,-1634822656.0
669,-1637935232.0
670,-1635422592.0
671,-1634154112.0
672,-1638044160.0
673,-1636186880.0
674,-1632655360.0
675,-1636916992.0
676,-1637350144.0
677,-1637625984.0
678,-1631255808.0
679,-1633333632.0
680,-1630396800.0
681,-1633502848.0
682,-1632145792.0
683,-1628012800.0
684,-1632816512.0
685,-1629513472.0
686,-1632012800.0
687,-1630601856.0
688,-1628230144.0
689,-1630278272.0
690,-1628185856.0
691,-1629879808.0
692,-1629246080.0
693,-1628877184.0
694,-1633579008.0
695,-1626923904.0
696,-1629465216.0
697,-1629482624.0
698,-1627126784.0
699,-1624982144.0
700,-1626277888.0
701,-1627859456.0
702,-1626990720.0
703,-1626534784.0
704,-1625741696.0
705,-1621842304.0
706,-1622993920.0
707,-1624082816.0
708,-1624903936.0
709,-1623140992.0
710,-1621060352.0
711,-1621887872.0
712,-1622620672.0
713,-1623325312.0
714,-1625710592.0
715,-1620073600.0
716,-1620343680.0
717,-1619669376.0
718,-1623110144.0
719,-1623677568.0
720,-1618584960.0
721,-1623500032.0
722,-1622130432.0
723,-1621773312.0
724,-1622220288.0
725,-1620050304.0
726,-1619668480.0
727,-1621865216.0
728,-1615954048.0
729,-1620563328.0
730,-1620680704.0
731,-1617204736.0
732,-1621790976.0
733,-1619243776.0
734,-1618307072.0
735,-1620382720.0
736,-1617896448.0
737,-1617184256.0
738,-1615267456.0
739,-1617192320.0
740,-1614619904.0
741,-1616442496.0
742,-1615691008.0
743,-1619692672.0
744,-1615139584.0
745,-1613601024.0
746,-1613549440.0
747,-1616260736.0
748,-1614753536.0
749,-1612797312.0
750,-1617473920.0
751,-1613912448.0
752,-1614352512.0
753,-1612620288.0
754,-1614893696.0
755,-1611643648.0
756,-1612314624.0
757,-1614893312.0
758,-1614058240.0
759,-1613042944.0
760,-1612454272.0
761,-1614491392.0
762,-1612921472.0
763,-1612695680.0
764,-1612629632.0
765,-1611201024.0
766,-1609099392.0
767,-1609685120.0
768,-1610084608.0
769,-1612792960.0
770,-1610971904.0
771,-1609051264.0
772,-1608980224.0
773,-1609428352.0
774,-1609041280.0
775,-1611836672.0
776,-1610003456.0
777,-1610452992.0
778,-1606507264.0
779,-1609252480.0
780,-1610759424.0
781,-1610136576.0
782,-1611984512.0
783,-1607454848.0
784,-1606837376.0
785,-1609266944.0
786,-1610579200.0
787,-1608251776.0
788,-1606047616.0
789,-1610766336.0
790,-1605965440.0
791,-1608883712.0
792,-1603243904.0
793,-1608096640.0
794,-1606502400.0
795,-1604835200.0
796,-1608174208.0
797,-1606214272.0
798,-1604391040.0
799,-1606704640.0
800,-1606040960.0
801,-1606380160.0
802,-1608079872.0
803,-1606040064.0
804,-1606023808.0
805,-1604895488.0
806,-1604537984.0
807,-1603787904.0
808,-1610365312.0
809,-1605635072.0
810,-1604742912.0
811,-1604876672.0
812,-1605869568.0
813,-1602558976.0
814,-1603733504.0
815,-1606778880.0
816,-1602298240.0
817,-1603348480.0
818,-1603719808.0
819,-1605081856.0
820,-1602109952.0
821,-1603507456.0
822,-1601221632.0
823,-1601502848.0
824,-1602820480.0
825,-1601890304.0
826,-1603851776.0
827,-1602823040.0
828,-1602899712.0
829,-1604602624.0
830,-1601937280.0
831,-1600677760.0
832,-1601999488.0
833,-1600380928.0
834,-1602927232.0
835,-1603988608.0
836,-1602562560.0
837,-1600130304.0
838,-1600644096.0
839,-1601264256.0
840,-1600790912.0
841,-1604563200.0
842,-1598389760.0
843,-1600849024.0
844,-1599094528.0
845,-1599641088.0
846,-1599448960.0
847,-1600487680.0
848,-1600727552.0
849,-1600323200.0
850,-1599357184.0
851,-1599307648.0
852,-1601379712.0
853,-1599272192.0
854,-1601043072.0
855,-1598440576.0
856,-1599873024.0
857,-1598285568.0
858,-1597600512.0
859,-1597028608.0
860,-1598008576.0
861,-1599124480.0
862,-1599456768.0
863,-1598896768.0
864,-1596405120.0
865,-1599070592.0
866,-1598596992.0
867,-1595565952.0
868,-1600013568.0
869,-1597222400.0
870,-1597124096.0
871,-1598468608.0
872,-1598979712.0
873,-1596585088.0
874,-1597940352.0
875,-1596352768.0
876,-1596927104.0
877,-1598144384.0
878,-1596391808.0
879,-1595077504.0
880,-1595250816.0
881,-1595779584.0
882,-1595117824.0
883,-1598308096.0
