,elbo
319,-1819235200.0
320,-1812672640.0
321,-1813468672.0
322,-1787413888.0
323,-1825259264.0
324,-1809841536.0
325,-1813792000.0
326,-1820966400.0
327,-1816674560.0
328,-1832731776.0
329,-1799406464.0
330,-1792173312.0
331,-1842572544.0
332,-1792663168.0
333,-1841431552.0
334,-1801623808.0
335,-1790090368.0
336,-1826232832.0
337,-1815733248.0
338,-1858456448.0
339,-1795750144.0
340,-1824807296.0
341,-1796359808.0
342,-1887634432.0
343,-1784746240.0
344,-1797090176.0
345,-1806875520.0
346,-1795842304.0
347,-1793883648.0
348,-1782482816.0
349,-1785923840.0
350,-1784161536.0
351,-1807510528.0
352,-1800621824.0
353,-1803241728.0
354,-1786152960.0
355,-1781101568.0
356,-1794808064.0
357,-1783153280.0
358,-1783950720.0
359,-1790985984.0
360,-1818734720.0
361,-1795221376.0
362,-1779835648.0
363,-1797639936.0
364,-1790802176.0
365,-1777282816.0
366,-1777915776.0
367,-1787241856.0
368,-1790503936.0
369,-1785251456.0
370,-1779921024.0
371,-1801013376.0
372,-1764562560.0
373,-1782698368.0
374,-1776471424.0
375,-1769763200.0
376,-1804940672.0
377,-1784601216.0
378,-1771288960.0
379,-1788135680.0
380,-1786467072.0
381,-1771824640.0
382,-1788680960.0
383,-1790829056.0
384,-1784806656.0
385,-1782206976.0
386,-1773835392.0
387,-1766312960.0
388,-1768012800.0
389,-1763148288.0
390,-1770468096.0
391,-1796173824.0
392,-1770596480.0
393,-1757539328.0
394,-1770373888.0
395,-1777457792.0
396,-1773150720.0
397,-1790496384.0
398,-1779617792.0
399,-1766770944.0
400,-1773229824.0
401,-1768078336.0
402,-1768426880.0
403,-1795557376.0
404,-1801216768.0
405,-1773644544.0
406,-1767465600.0
407,-1776466816.0
408,-1770793600.0
409,-1765638784.0
410,-1755855744.0
411,-1773110656.0
412,-1766385280.0
413,-1767850752.0
414,-1764874496.0
415,-1775798784.0
416,-1758352000.0
417,-1856089088.0
418,-1755771136.0
419,-1763990656.0
420,-1743654016.0
421,-1743937664.0
422,-1843866880.0
423,-1767335040.0
424,-1773168384.0
425,-1747672832.0
426,-1763935104.0
427,-1759859840.0
428,-1762116480.0
429,-1756134400.0
430,-1759562496.0
431,-1753729152.0
432,-1756345600.0
433,-1748250880.0
434,-1776504448.0
435,-1762259328.0
436,-1764925312.0
437,-1754580608.0
438,-1748278272.0
439,-1745229056.0
440,-1779795456.0
441,-1754132480.0
442,-1772521344.0
443,-1753112960.0
444,-1743983360.0
445,-1751913344.0
446,-1745073152.0
447,-1761311488.0
448,-1769074176.0
449,-1739507456.0
450,-1751093248.0
451,-1741889536.0
452,-1737403264.0
453,-1757958784.0
454,-1765781632.0
455,-1752683904.0
456,-1746492800.0
457,-1737873408.0
458,-1761917184.0
459,-1742476672.0
460,-1753646592.0
461,-1751426688.0
462,-1755889152.0
463,-1748991232.0
464,-1729329152.0
465,-1758861824.0
466,-1752090112.0
467,-1740621440.0
468,-1732059776.0
469,-1743507584.0
470,-1732999552.0
471,-1723955328.0
472,-1726602752.0
473,-1726764672.0
474,-1740293248.0
475,-1745435520.0
476,-1758977024.0
